@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
71,29,3,55,68,0.447154,0.90625,0.345238,0.90625,0.654762,0.5,0.541935,1.672247,0.00186
72,29,3,54,69,0.439024,0.90625,0.349398,0.90625,0.650602,0.504348,0.535484,1.692395,0.001934
73,29,3,53,70,0.430894,0.90625,0.353659,0.90625,0.646341,0.508772,0.529032,1.713034,0.001942
74,29,3,52,71,0.422764,0.90625,0.358025,0.90625,0.641975,0.513274,0.522581,1.734182,0.001968
75,29,3,51,72,0.414634,0.90625,0.3625,0.90625,0.6375,0.517857,0.516129,1.755859,0.002605
76,29,3,50,73,0.406504,0.90625,0.367089,0.90625,0.632911,0.522523,0.509677,1.778085,0.002801
77,29,3,49,74,0.398374,0.90625,0.371795,0.90625,0.628205,0.527273,0.503226,1.800881,0.003061
78,29,3,48,75,0.390244,0.90625,0.376623,0.90625,0.623377,0.53211,0.496774,1.824269,0.003317
79,29,3,47,76,0.382114,0.90625,0.381579,0.90625,0.618421,0.537037,0.490323,1.848273,0.003995
80,29,3,46,77,0.373984,0.90625,0.386667,0.90625,0.613333,0.542056,0.483871,1.872917,0.00428
81,29,3,45,78,0.365854,0.90625,0.391892,0.90625,0.608108,0.54717,0.477419,1.898226,0.005954
82,29,3,44,79,0.357724,0.90625,0.39726,0.90625,0.60274,0.552381,0.470968,1.924229,0.005976
83,28,4,44,79,0.357724,0.875,0.388889,0.875,0.611111,0.538462,0.464516,1.883681,0.006718
84,27,5,44,79,0.357724,0.84375,0.380282,0.84375,0.619718,0.524272,0.458065,1.841989,0.007212
85,27,5,43,80,0.349593,0.84375,0.385714,0.84375,0.614286,0.529412,0.451613,1.868304,0.00741
86,27,5,42,81,0.341463,0.84375,0.391304,0.84375,0.608696,0.534653,0.445161,1.89538,0.00873
87,27,5,41,82,0.333333,0.84375,0.397059,0.84375,0.602941,0.54,0.43871,1.923254,0.009228
88,27,5,40,83,0.325203,0.84375,0.402985,0.84375,0.597015,0.545455,0.432258,1.951959,0.009375
89,27,5,39,84,0.317073,0.84375,0.409091,0.84375,0.590909,0.55102,0.425806,1.981534,0.010344
90,27,5,38,85,0.308943,0.84375,0.415385,0.84375,0.584615,0.556701,0.419355,2.012019,0.011658
91,26,6,38,85,0.308943,0.8125,0.40625,0.8125,0.59375,0.541667,0.412903,1.967773,0.01224
92,26,6,37,86,0.300813,0.8125,0.412698,0.8125,0.587302,0.547368,0.406452,1.999008,0.017746
93,26,6,36,87,0.292683,0.8125,0.419355,0.8125,0.580645,0.553191,0.4,2.03125,0.019299
94,26,6,35,88,0.284553,0.8125,0.42623,0.8125,0.57377,0.55914,0.393548,2.064549,0.021569
95,26,6,34,89,0.276423,0.8125,0.433333,0.8125,0.566667,0.565217,0.387097,2.098958,0.023638
96,26,6,33,90,0.268293,0.8125,0.440678,0.8125,0.559322,0.571429,0.380645,2.134534,0.024539
97,26,6,32,91,0.260163,0.8125,0.448276,0.8125,0.551724,0.577778,0.374194,2.171336,0.028181
98,26,6,31,92,0.252033,0.8125,0.45614,0.8125,0.54386,0.58427,0.367742,2.20943,0.040699
99,26,6,30,93,0.243902,0.8125,0.464286,0.8125,0.535714,0.590909,0.36129,2.248884,0.052056
100,26,6,29,94,0.235772,0.8125,0.472727,0.8125,0.527273,0.597701,0.354839,2.289773,0.052367
101,26,6,28,95,0.227642,0.8125,0.481481,0.8125,0.518519,0.604651,0.348387,2.332176,0.058318
102,26,6,27,96,0.219512,0.8125,0.490566,0.8125,0.509434,0.611765,0.341935,2.376179,0.065612
103,26,6,26,97,0.211382,0.8125,0.5,0.8125,0.5,0.619048,0.335484,2.421875,0.086576
104,26,6,25,98,0.203252,0.8125,0.509804,0.8125,0.490196,0.626506,0.329032,2.469363,0.093873
105,26,6,24,99,0.195122,0.8125,0.52,0.8125,0.48,0.634146,0.322581,2.51875,0.095029
106,26,6,23,100,0.186992,0.8125,0.530612,0.8125,0.469388,0.641975,0.316129,2.570153,0.139549
107,25,7,23,100,0.186992,0.78125,0.520833,0.78125,0.479167,0.625,0.309677,2.522786,0.220699
108,25,7,22,101,0.178862,0.78125,0.531915,0.78125,0.468085,0.632911,0.303226,2.576463,0.2483
109,25,7,21,102,0.170732,0.78125,0.543478,0.78125,0.456522,0.641026,0.296774,2.632473,0.249421
110,24,8,21,102,0.170732,0.75,0.533333,0.75,0.466667,0.623377,0.290323,2.583333,0.303103
111,24,8,20,103,0.162602,0.75,0.545455,0.75,0.454545,0.631579,0.283871,2.642045,0.362364
112,23,9,20,103,0.162602,0.71875,0.534884,0.71875,0.465116,0.613333,0.277419,2.590843,0.365191
113,23,9,19,104,0.154472,0.71875,0.547619,0.71875,0.452381,0.621622,0.270968,2.65253,0.365864
114,23,9,18,105,0.146341,0.71875,0.560976,0.71875,0.439024,0.630137,0.264516,2.717226,0.376121
115,23,9,17,106,0.138211,0.71875,0.575,0.71875,0.425,0.638889,0.258065,2.785156,0.415397
116,23,9,16,107,0.130081,0.71875,0.589744,0.71875,0.410256,0.647887,0.251613,2.856571,0.423924
117,22,10,16,107,0.130081,0.6875,0.578947,0.6875,0.421053,0.628571,0.245161,2.804276,0.540563
118,22,10,15,108,0.121951,0.6875,0.594595,0.6875,0.405405,0.637681,0.23871,2.880068,0.629546
119,22,10,14,109,0.113821,0.6875,0.611111,0.6875,0.388889,0.647059,0.232258,2.960069,0.697153
120,21,11,14,109,0.113821,0.65625,0.6,0.65625,0.4,0.626866,0.225806,2.90625,0.735008
121,21,11,13,110,0.105691,0.65625,0.617647,0.65625,0.382353,0.636364,0.219355,2.991728,0.73678
